305170.999288862,305170.503564728,-17.875200000,-16.962100000,0.629600000,-10.416700000,-17.152100000,0.631300000
305171.006992816,305170.809314718,-6.037100000,-18.449600000,-0.584000000,-3.094600000,-18.533600000,-0.590300000
305171.007315376,305170.217153848,-5.737000000,-17.742700000,0.885100000,6.065400000,-18.033100000,0.912000000
305171.008536392,305170.811190070,-3.938300000,-17.132100000,0.438100000,-0.987200000,-17.191400000,0.448900000
305171.008974152,305170.811461944,-3.678100000,-17.391700000,1.124600000,-0.852400000,-17.437400000,1.132600000
305171.009460190,305170.219188174,-2.404000000,-17.569700000,-1.816600000,9.420000000,-17.833500000,-1.863400000
305171.010526944,305170.121522206,-1.698600000,-16.417800000,0.805400000,11.671300000,-16.772000000,0.809400000
305171.011079800,305170.517411624,-1.267500000,-17.170800000,0.990300000,6.128100000,-17.393700000,0.919100000
305171.011199608,305170.813410918,-1.020500000,-20.355500000,0.001200000,1.877100000,-20.386300000,-0.064700000
305171.011344758,305170.616319342,-0.243100000,-18.092200000,-1.928100000,5.702700000,-18.254300000,-1.906500000
305171.011356278,305170.320029742,-0.890900000,-16.869900000,1.018300000,9.549000000,-17.095400000,1.049700000
305171.011584374,305170.814182758,0.577900000,-17.619500000,-4.238300000,3.531100000,-17.678400000,-4.262700000
305171.011750264,305170.814348544,0.646300000,-17.047800000,-4.088100000,3.601000000,-17.113200000,-4.114300000
305171.011796342,305170.221244136,0.499800000,-16.893200000,-2.859200000,12.379900000,-17.239400000,-2.829400000
305171.011906934,305170.320610246,0.608700000,-16.448400000,-2.804300000,10.997400000,-16.595300000,-2.853900000
305171.012082936,305170.518188072,1.082600000,-17.351300000,-4.085500000,8.383800000,-17.553900000,-4.102300000
305171.012124406,305170.617209582,0.793400000,-17.476000000,-2.272800000,6.722600000,-17.613900000,-2.299200000
305171.012251126,305170.419290872,0.289500000,-17.820700000,0.173600000,9.163300000,-18.058000000,0.220200000
305171.012285688,305170.815048958,0.713400000,-16.170800000,-1.560500000,3.594000000,-16.112800000,-1.481900000
305171.012612856,305170.420018934,0.948700000,-16.619200000,-0.943500000,9.820100000,-16.828300000,-0.960300000
305171.012617464,305170.617592048,1.065000000,-17.315500000,-1.535400000,6.970000000,-17.443900000,-1.556100000
305171.012631288,305170.023178072,1.548900000,-17.402000000,-3.377000000,16.348500000,-17.750100000,-3.409200000
305171.012672758,305170.617757934,1.197300000,-17.176600000,-1.478700000,7.125000000,-17.307500000,-1.509800000
305171.012728056,305170.815380734,1.271200000,-17.657200000,-1.529100000,4.282400000,-17.601200000,-1.468300000
305171.012863992,305170.419848440,1.089500000,-17.625500000,-0.308700000,9.984900000,-17.825800000,-0.319800000
305171.013009142,305170.222013672,1.628000000,-17.034800000,-2.024500000,13.456900000,-17.245000000,-1.943100000
305171.013124342,305170.518897598,1.983600000,-18.127900000,-2.672300000,9.371000000,-18.291900000,-2.674200000
